#HF transmitted power data for 2017-06-26
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

14:07:28.241,      ,000979,      ,000113,      ,000238,      ,001002,      ,000636,      ,000493,0.64454
14:07:29.271,      ,000730,      ,000067,      ,000240,      ,000579,      ,000633,      ,000667,0.64055
14:07:30.300,      ,001000,      ,000330,      ,000156,      ,000577,      ,000633,      ,000478,0.60881
14:07:31.332,      ,001014,      ,000331,      ,000158,      ,000577,      ,000432,      ,000826,0.62580
14:07:32.364,      ,000701,      ,000108,      ,000235,      ,000921,      ,000346,      ,000860,0.65409
14:07:33.394,      ,000751,      ,000107,      ,000255,      ,000577,      ,000390,      ,000665,0.63468
14:07:34.426,      ,000744,      ,000324,      ,000229,      ,000571,      ,000633,      ,000478,0.62114
14:07:35.463,      ,000763,      ,000113,      ,000150,      ,000572,      ,000640,      ,000791,0.63772
14:07:36.493,      ,000744,      ,000326,      ,000245,      ,000986,      ,000387,      ,000776,0.63805
14:07:37.524,      ,001008,      ,000122,      ,000247,      ,000897,      ,000369,      ,000856,0.65674
14:07:38.563,      ,001015,      ,000071,      ,000151,      ,000920,      ,000364,      ,000782,0.64773
14:07:39.594,      ,001006,      ,000325,      ,000246,      ,000913,      ,000634,      ,000757,0.63733
14:07:40.624,      ,001009,      ,000328,      ,000151,      ,000572,      ,000636,      ,000476,0.60624
14:07:41.655,      ,000991,      ,000332,      ,000154,      ,000996,      ,000636,      ,000496,0.63202
14:07:42.685,      ,000994,      ,000332,      ,000184,      ,000894,      ,000640,      ,000490,0.62087
14:07:43.719,      ,000984,      ,000332,      ,000158,      ,000994,      ,000379,      ,000822,0.62403
14:07:44.751,      ,001013,      ,000117,      ,000156,      ,000574,      ,000639,      ,000835,0.62046
14:07:45.781,      ,001016,      ,000344,      ,000160,      ,000578,      ,000637,      ,000670,0.61097
14:07:46.809,      ,000993,      ,000338,      ,000163,      ,000581,      ,000640,      ,000494,0.60611
14:07:47.840,      ,000991,      ,000339,      ,000255,      ,000546,      ,000399,      ,000477,0.62029
14:07:48.875,      ,000997,      ,000078,      ,000225,      ,000579,      ,000397,      ,000771,0.65044
14:07:49.909,      ,000710,      ,000127,      ,000248,      ,000937,      ,000367,      ,000516,0.65794
14:07:50.943,      ,000729,      ,000350,      ,000255,      ,000579,      ,000642,      ,000488,0.61960
14:07:51.974,      ,000998,      ,000347,      ,000165,      ,000586,      ,000646,      ,000847,0.62273
14:07:53.011,      ,000722,      ,000344,      ,000162,      ,000923,      ,000355,      ,000477,0.61841
14:07:54.050,      ,000723,      ,000096,      ,000267,      ,001045,      ,000450,      ,000672,0.68076
14:07:55.081,      ,000739,      ,000101,      ,000268,      ,000982,      ,000654,      ,000659,0.63936
14:07:56.112,      ,001013,      ,000362,      ,000265,      ,000725,      ,000650,      ,000492,0.61374
14:07:57.142,      ,001008,      ,000362,      ,000178,      ,000589,      ,000648,      ,000477,0.60888
14:07:58.173,      ,001018,      ,000367,      ,000179,      ,000588,      ,000651,      ,000656,0.62173
14:07:59.212,      ,001002,      ,000365,      ,000188,      ,000599,      ,000654,      ,000486,0.61370
14:08:00.242,      ,000721,      ,000351,      ,000171,      ,001012,      ,000653,      ,000489,0.61342
14:08:01.274,      ,000737,      ,000106,      ,000254,      ,000593,      ,000652,      ,000492,0.62943
14:08:02.305,      ,000989,      ,000354,      ,000274,      ,000594,      ,000650,      ,000669,0.62029
14:08:03.337,      ,000983,      ,000132,      ,000267,      ,001006,      ,000363,      ,000791,0.66581
14:08:04.367,      ,000982,      ,000093,      ,000174,      ,001002,      ,000378,      ,000484,0.62973
14:08:05.398,      ,000969,      ,000353,      ,000172,      ,001008,      ,000654,      ,000810,0.61919
14:08:06.428,      ,000969,      ,000349,      ,000177,      ,000597,      ,000656,      ,000655,0.61145
14:08:07.511,      ,000713,      ,000091,      ,000280,      ,001009,      ,000649,      ,000631,0.71501
14:08:08.541,      ,000979,      ,000102,      ,000276,      ,000601,      ,000658,      ,000459,0.61821
14:08:09.582,      ,000761,      ,000090,      ,000274,      ,000594,      ,000643,      ,000477,0.63537
14:08:10.612,      ,000749,      ,000086,      ,000284,      ,000796,      ,000350,      ,000777,0.71286
14:08:11.713,      ,000755,      ,000092,      ,000286,      ,001011,      ,000383,      ,000780,0.70690
14:08:13.046,      ,000703,      ,000086,      ,000279,      ,001010,      ,000349,      ,000785,0.70008
14:08:14.143,      ,000705,      ,000140,      ,000240,      ,001007,      ,000643,      ,000463,0.64824
14:08:15.178,      ,000796,      ,000156,      ,000257,      ,001005,      ,000641,      ,000591,0.64914
14:08:16.211,      ,000979,      ,000125,      ,000281,      ,000602,      ,000644,      ,000465,0.64627
14:08:17.244,      ,000790,      ,000086,      ,000261,      ,001008,      ,000488,      ,000620,0.69675
14:08:18.276,      ,000822,      ,000351,      ,000178,      ,001016,      ,000644,      ,000460,0.64327
14:08:19.305,      ,000972,      ,000338,      ,000169,      ,000595,      ,000642,      ,000635,0.61016
14:08:20.338,      ,000961,      ,000081,      ,000171,      ,000593,      ,000641,      ,000463,0.61025
14:08:21.367,      ,000700,      ,000343,      ,000171,      ,000590,      ,000635,      ,000463,0.61151
14:08:22.396,      ,000978,      ,000339,      ,000278,      ,000995,      ,000395,      ,000464,0.67338
14:08:23.426,      ,000967,      ,000345,      ,000274,      ,000588,      ,000634,      ,000645,0.61747
14:08:24.457,      ,000966,      ,000240,      ,000277,      ,000789,      ,000345,      ,000491,0.66931
14:08:25.491,      ,000984,      ,000345,      ,000175,      ,000988,      ,000348,      ,000807,0.65476
14:08:26.538,      ,000717,      ,000082,      ,000167,      ,000986,      ,000346,      ,000476,0.67360
14:08:27.568,      ,000786,      ,000344,      ,000277,      ,000787,      ,000629,      ,000648,0.64111
14:08:28.601,      ,000983,      ,000081,      ,000210,      ,000986,      ,000437,      ,000471,0.67065
14:08:29.632,      ,001011,      ,000352,      ,000243,      ,000591,      ,000635,      ,000485,0.61369
14:08:30.674,      ,000721,      ,000347,      ,000170,      ,000583,      ,000351,      ,000476,0.65783
14:08:31.705,      ,001005,      ,000080,      ,000169,      ,000585,      ,000639,      ,000638,0.62910
14:08:32.735,      ,001012,      ,000080,      ,000275,      ,000977,      ,000632,      ,000487,0.64040
14:08:33.766,      ,000810,      ,000085,      ,000280,      ,000981,      ,000355,      ,000804,0.79179
14:08:34.833,      ,000981,      ,000090,      ,000280,      ,000978,      ,000354,      ,000797,0.83259
14:08:35.863,      ,000723,      ,000178,      ,000283,      ,000822,      ,000352,      ,000648,0.69279
14:08:36.894,      ,000719,      ,000095,      ,000290,      ,000627,      ,000354,      ,000805,0.73286
14:08:37.967,      ,000928,      ,000352,      ,000185,      ,000596,      ,000637,      ,000468,0.64241
14:08:38.998,      ,000968,      ,000358,      ,000189,      ,000599,      ,000641,      ,000479,0.60517
14:08:40.028,      ,000963,      ,000104,      ,000198,      ,000606,      ,000635,      ,000594,0.62423
14:08:41.057,      ,000957,      ,000370,      ,000305,      ,000611,      ,000641,      ,000782,0.63481
14:08:42.092,      ,000979,      ,000366,      ,000306,      ,000608,      ,000646,      ,000475,0.62223
14:08:43.121,      ,000969,      ,000370,      ,000202,      ,000614,      ,000647,      ,000461,0.60671
14:08:44.152,      ,000987,      ,000371,      ,000203,      ,001008,      ,000645,      ,000803,0.65024
14:08:45.188,      ,000982,      ,000372,      ,000197,      ,000613,      ,000387,      ,000476,0.61761
14:08:46.229,      ,000952,      ,000363,      ,000199,      ,000614,      ,000651,      ,000470,0.60507
14:08:47.258,      ,000958,      ,000355,      ,000194,      ,000613,      ,000652,      ,000469,0.61482
14:08:48.289,      ,000722,      ,000103,      ,000197,      ,000883,      ,000651,      ,000661,0.63454
14:08:49.319,      ,000979,      ,000368,      ,000303,      ,000616,      ,000376,      ,000597,0.65372
14:08:50.381,      ,000967,      ,000091,      ,000184,      ,000611,      ,000651,      ,000767,0.62123
14:08:51.411,      ,000981,      ,000364,      ,000293,      ,000964,      ,000632,      ,000474,0.62297
14:08:52.448,      ,000735,      ,000350,      ,000183,      ,001011,      ,000366,      ,000780,0.67663
14:08:53.477,      ,000714,      ,000356,      ,000184,      ,000603,      ,000649,      ,000463,0.63158
14:08:54.507,      ,000955,      ,000345,      ,000183,      ,000613,      ,000651,      ,000482,0.60709
14:08:55.538,      ,000951,      ,000343,      ,000185,      ,000611,      ,000652,      ,000482,0.60644
14:08:56.578,      ,000950,      ,000343,      ,000182,      ,000607,      ,000650,      ,000651,0.60823
14:08:57.608,      ,000948,      ,000089,      ,000186,      ,000608,      ,000649,      ,000464,0.61226
14:08:58.638,      ,000950,      ,000350,      ,000194,      ,000615,      ,000653,      ,000483,0.60614
14:08:59.669,      ,000953,      ,000352,      ,000193,      ,000611,      ,000653,      ,000479,0.60772
14:09:00.699,      ,000951,      ,000350,      ,000192,      ,000606,      ,000650,      ,000468,0.63832
14:09:01.739,      ,000958,      ,000345,      ,000188,      ,000610,      ,000652,      ,000480,0.60744
14:09:02.770,      ,000957,      ,000353,      ,000194,      ,000611,      ,000651,      ,000658,0.61198
